0,3
0,8
0,11
0,18
0,25
0,35
0,52
1,12
1,18
1,19
1,29
1,43
2,16
2,36
2,43
2,52
3,9
3,30
3,36
3,37
4,16
4,44
4,54
4,55
5,10
5,13
5,14
5,32
5,35
5,43
5,48
6,28
6,34
6,54
7,14
7,32
7,38
7,53
8,27
8,33
8,34
8,36
8,37
8,46
9,43
9,54
9,56
10,17
10,18
10,39
10,42
10,47
10,52
11,18
11,20
11,21
11,25
11,35
11,39
11,48
11,52
11,53
11,57
11,59
12,27
12,28
12,40
12,44
12,49
12,54
13,21
13,34
13,39
13,59
14,27
14,49
14,53
14,58
15,17
15,21
15,25
15,27
15,35
15,36
15,41
15,43
15,52
16,17
16,41
16,59
17,20
17,28
17,31
17,33
17,34
17,41
17,47
17,51
17,52
17,53
18,25
18,27
18,44
18,45
18,46
18,48
18,53
18,55
19,22
19,29
19,44
19,49
20,28
20,41
20,45
20,52
21,29
21,35
21,45
21,51
21,53
21,55
23,24
23,29
23,38
24,25
24,38
24,54
24,58
25,33
25,41
25,51
25,59
26,27
26,30
26,33
26,45
27,34
27,38
27,48
27,52
27,56
28,34
28,52
29,32
29,38
29,57
30,56
31,46
31,47
32,39
32,48
33,40
33,41
33,46
34,35
34,45
35,43
36,37
36,40
36,43
36,50
37,43
37,50
37,54
38,49
38,50
39,41
39,48
39,52
41,43
41,44
41,45
41,50
41,54
41,58
42,56
43,45
43,55
44,46
44,53
45,46
45,47
46,50
46,51
49,53
50,54
51,58
52,53
53,57
53,59
55,56
57,59
